id,name
87236,Mulan Collection
93731,Waiting Collection
102782,House Collection
97768,Lake Placid Collection
473943,Gonin collection
221966,The Odd Couple Collection
372479,Collection Les Boys
17235,Hellboy Collection
387618,8MM Collection
2150,Shrek Collection
135489,Wishmaster Collection
2806,American Pie Collection
212279,Piranha Collection
124881,Street Kings Collection
10455,Child's Play Collection
478442,Lammbock Collection
372257,The Poseidon Adventure Collection
174407,Warriors of Virtue Collection
105995,Anaconda Collection
1582,Teenage Mutant Ninja Turtles (Original) Collection
2602,Scream Collection
2366,The Jaws Collection
86083,Grease Collection
97771,Major League Collection
9329,Young Guns Collection
299748,Walking Tall Collection
218406,Frankenstein (Universal Series)
397842,The Amityville Collection
173344,Qatsi Collection
556,Spider-Man Collection
55427,Fantasia Collection
87250,Bambi Collection
72119,"Honey, I Shrunk the Kids Collection"
91588,OSS 117 Collection
137696,"Monsters, Inc. Collection"
55428,Curious George Collection
399,Predator Collection
113635,The Modesty Blaise Collection
108693,National Lampoon's Vacation Collection
359005,The Jake Gittes Collection
4246,Scary Movie Collection
8354,Ice Age Collection
142680,Alex Cross Collection
353721,You Got Served Collection
289531,Gator Collection
351230,Dream a Little Dream Collection
230,The Godfather Collection
32135,The Toxic Avenger Collection
87536,Warlock Collection
386818,Django - Original films
39460,The Water of the Hills Collection
23026,Ghost in the Shell Collection
166379,Turbulence Collection
86336,Basic Instinct Collection
86058,Dirty Dancing Collection
304,Ocean's Collection
96937,The Boogeyman Collection
271668,Caballeros Collection
201873,A Christmas Story Collection
176118,The Are We Collection
86105,American Psycho Collection
115225,Children of the Corn Collection
160727,Stomp the Yard Collection
90348,Witch Mountain Collection
181496,Davy Crockett Collection
134011,The Fugitive / U.S. Marshals Collection
94032,The Lion King Collection
86774,Che Collection
430186,Bring It On Collection
97460,Lady and the Tramp Collection
115570,Star Trek: The Next Generation Collection
221539,Dracula (Universal Series)
9436,The Crow Collection
1960,Evil Dead Collection
52783,Wall Street Collection
3169,Dr. Dolittle Collection
155474,French Connection Collection
125570,300 Collection
192492,The Jack Ryan Collection
126221,George of the Jungle Collection
86027,Aladdin Collection
33071,Cheech & Chong Collection
240690,Billy Jack Collection
33514,The Twilight Collection
44215,Stargate SG-1 Collection
141086,Heavy Metal Collection
1657,Zorro Collection
99635,A Better Tomorrow Collection
431417,Nevada Smith Collection
300546,Once were Warriors Collection
211721,Taxi Collection
119,The Lord of the Rings Collection
4438,The Space Odyssey Series
85817,Arthur and the Invisibles Collection
8864,Final Destination Collection
86112,Vacancy Collection
410261,A Goofy Movie Collection
330605,The Sting Collection
3106,World of Watches Collection
8385,Aki Kaurismäki's Finland trilogy
412680,Hard Target Collection
23170,Burnt by the Sun Trilogy
109608,Van Helsing Collection
170452,Timecop Collection
151,Star Trek: The Original Series Collection
9068,The Prophecy Collection
17178,Jackass Collection
373538,Enter the Ninja Collection
43563,Friday Collection
85946,District 13 Collection
123800,Before... Collection
268098,Wolf Creek Collection
145784,The Philadelphia Experiment - Collezione
10194,Toy Story Collection
91799,Tremors Collection
109076,Lost Boys Collection
173628,Nekromantik Collection
98853,Cyborg Collection
130440,The Pink Panther (Steve Martin) Collection
85861,Beverly Hills Cop Collection
43064,Speed Collection
112537,Sällskapsresorna
9735,Friday the 13th Collection
8917,Hellraiser Collection
1006,Austin Powers Collection
105629,Paradise Lost Collection
386495,Fubar Collection
330555,Ernest Collection
112399,Under Siege Collection
295,Pirates of the Caribbean Collection
10453,Poltergeist Collection
91945,American Ninja Collection
136214,Pocahontas Collection
492896,Virgil Tibbs Collection
2344,The Matrix Collection
3167,Ace Ventura Collection
528,The Terminator Collection
937,The Pink Panther (Original) Collection
159600,House Party Collection
122017,Screamers Collection
144200,Swan Princess Series
104716,Basket Case Collection
10457,Once Upon a Time in China Collection
123255,Prom Night Collection
168880,Beethoven Collection
140910,All Dogs Go to Heaven Collection
86055,Men In Black Collection
48829,The Streetfighter Collection
43066,Teen Wolf Collection
374512,Godzilla (Millennium) Collection
495527,Jumanji Collection
152544,Green Street Hooligans Collection
1570,Die Hard Collection
9649,Mexico Trilogy
645,James Bond Collection
111751,Texas Chainsaw Massacre Collection
201061,War of the Worlds Collection
374511,Godzilla (Heisei) Collection
327598,"To Sir, with Love Collection"
945,Lethal Weapon Collection
86347,Short Circuit Collection
89151,The Gremlins Collection
5547,RoboCop Collection
9818,Mortal Kombat Collection
14740,Madagascar Collection
491769,The Mysterians Collection
8979,Wayne's World Collection
104847,Caddyshack Collection
52888,The Visitors Collection
259027,The Wolf Man (Universal Series)
110179,The Cutting Edge Collection
100693,101 Dalmatians (Animated) Collection
158376,Hanzo the Razor Collection
87118,Cars Collection
500670,Actually Collection
100286,Elizabeth Collection
59586,The Blue Lagoon collection
7505,Elements Trilogy
398740,Mister Roberts Collection
439053,Brooklyn Cigar Store Collection
167985,Richie Rich Collection
256377,The Muppet Collection
330892,Sides of the Bed
423877,Turkish Star Wars
86224,The Saint Collection
120794,Batman Collection
1972,Ju-on Collection
63043,TRON Collection
366444,Demetrius Filmreihe
252313,The Endless Summer Collection
331475,Shiloh Collection
350402,Barney Collection
189295,The Spiders Serial
468222,The Incredibles Collection
87232,The Apple Dumpling Gang Collection
182813,Clerks Collection
424202,Trainspotting Collection
393564,McHale's Navy Collection
98168,Fright Night Collection
259398,Teenage Apocalypse Trilogy
413937,Father Flanagan Collection
123251,Iron Eagle Collection
141292,The Secret Of NIMH Collection
164397,Class of 1999 Collection
248339,House on Haunted Hill Collection
224478,The Brady Bunch Collection
8091,Alien Collection
290973,"Crouching Tiger, Hidden Dragon Collection"
116661,The Arrival Collection
103573,Sister Act Collection
378453,Henry Fool Collection
116847,Dr. Phibes Collection
47983,Killer Tomatoes! Collection
10441,Babylon 5 Collection
12087,Herbie Collection
87220,Smokey and the Bandit Collection
8050,Highlander Collection
170754,Arthur Collection
437451,Cinderella Story Collection
10522,Starship Troopers Collection
10721,Mimic Collection
237445,Inspector Gadget Collection
479888,The Thing Collection
321063,The Sinbad Collection
164395,The Messengers Collection
169329,Göta kanal collection
117693,Balto Collection
10,Star Wars Collection
328073,The Net Collection
96682,Zeitgeist Collection
87631,The Musketeers Collection
162028,Stakeout Collection
115142,Tales from the Crypt Collection
405256,Dolemite Collection
158391,The Apu Collection
9888,Home Alone Collection
8581,A Nightmare on Elm Street Collection
462565,The Secret Garden Collection
9743,The Hannibal Lecter Anthology
84,Indiana Jones Collection
124950,American Graffiti Collection
96665,Dumb and Dumber Collection
422837,Blade Runner Collection
279836,Herr Lehmann Filmreihe
182923,Tetsuo Collection
179244,Pee-wee's Collection
43058,Homeward Bound Collection
174386,Into the Blue Collection
169452,DragonHeart Collection
261526,Slap Shot Collection
44913,Ghoulies Collection
8580,The Karate Kid Collection
312735,Annie Collection
103372,Mr. Bean Collection
91430,The Neverending Story Collection
351684,The Flintstones (Live-Action) Collection
86860,Scooby-Doo Collection
36694,Bloodsport Collection
115762,AVP Collection
127280,The Three Mothers Collection
166373,The Marine Collection
144146,Lemmy Caution Collection
201778,Dorm Daze Collection
9887,Species Collection
304378,Independence Day Collection
135441,Road to Collection
91698,Chili Palmer Collection
466318,Bachelor Party Collection
52988,Hot Shots! Collection
135498,King Kong (1976 series)
47814,The Thin Man Collection
14246,Sniper Collection
153010,Beauty and the Beast Collection
34055,Pokémon Collection
656,Saw Collection
242765,In the Line of Duty Collection
207952,Barrytown Trilogy
105322,Kickboxer Collection
19163,The Land Before Time Collection
87214,The Sandlot Collection
143766,The Substitute Collection
488727,10.5 Collection
10709,The Mighty Ducks Collection
211753,Caprona (Amicus) Collection
374509,Godzilla (Showa) Collection
102777,White Noise Collection
9338,Police Academy Collection
131,Three Colors Collection
71458,3 Ninjas Collection
9435,Babe Collection
30663,Harold & Kumar Collection
297143,Dexter Riley Collection
2467,Tomb Raider Collection
119674,Psycho Collection
215326,The Bad New Bears Collection
5039,Rambo Collection
19160,FernGully Collection
498,Heart of Gold Collection
3601,I Know What You Did Last Summer Collection
86307,Cocoon Collection
50457,Sex and the City Collection
1733,The Mummy Collection
328,Jurassic Park Collection
340623,The Gate Collection
153948,Best of the Best Collection
84923,The Orphic Trilogy
109609,The Fly Collection
387219,The Hustler Collection
10789,Pet Sematary Collection
86024,Legally Blonde Collection
33938,Airport Collection
166698,Westworld Collection
1709,Planet of the Apes Original Collection
110127,Analyze Collection
263866,Nuke 'Em High Collection
257053,Carrie Collection
126166,The Delta Force Collection
349889,Robot Jox Collection
10924,From Dusk Till Dawn Collection
205860,The Black Mask Collection
221544,The Mummy (Universal Series)
102128,Lone Wolf and Cub Collection
8537,Superman Collection
123720,Frankenstein (Hammer Series)
264335,The Eye Collection
281644,Rocky Horror Collection
87228,Swamp Thing Collection
285130,2001 Maniacs Collection
248126,Splash Collection
494977,Easy Rider Collection
135495,King Kong (1933 series)
104068,Tales of the Four Seasons
64748,Silent Hill Collection
2980,Ghostbusters Collection
182617,Elvira Collection
296872,See No Evil Collection
185682,The Adventures of Antoine Doinel
135502,Allan Quatermain Collection
10919,The Omen Collection
108125,The 36th Chamber of Shaolin Collection
104833,Fletch Collection
449750,Fanny Brice Collection
269098,Police Story Collection
180854,Problem Child Collection
97237,Faces of Death Collection
140760,Final Fantasy Collection
10713,Universal Soldier Collection
421084,Disneys Große Pause Filmreihe
86797,Arn collection
114783,Cheaper by the Dozen Collection
89264,Romancing the Stone Collection
141282,The Brave Little Toaster Collection
143757,Stir of Echoes Collection
275402,SpongeBob Collection
146136,Armour of God Collection
47770,Phantasm Collection
145901,Lupin the Third Collection
123256,Pumpkinhead Collection
376970,Cocaine Cowboys
124492,The Dirty Dozen Collection
107725,Creepshow Collection
135509,The Last Picture Show Collection
380822,Penitenciaría - Colección
122947,Omega Code Series
91663,Airplane Collection
89188,Harry Palmer Collection
391047,On Any Sunday Collection
256729,War Trilogy
48037,Meatballs Collection
102452,Samurai Collection
374386,Anglo-Zulu War Collection
95051,The Up Series
261382,Clint Eastwood's Iwo Jima Collection
421904,Batman (DC Universe Animated) Collection
338282,Single White Female Collection
306063,Saints and Soldiers Collection
12075,Elling Collection
8783,Fievel Collection
2794,The Chronicles of Riddick Collection
150156,City Slickers Collection
103577,The Whole Nine/Ten Yards Collection
11582,Don Camillo Collection
377545,Samurai Trilogy
93568,Cross of Iron Collection
143588,Why Did I Get Married Collection
112636,The Blues Brothers Collection
529,Wallace & Gromit Collection
14377,Death Wish Collection
52789,Cruel Intentions Collection
119050,Grumpy Old Men Collection
191023,The Yakuza Papers Collection
366826,Navarone Collection
338327,Beach Party Collection
94899,Jeepers Creepers Collection
201576,The Cabin Fever Collection
246839,Center Stage Collection
47391,Sleepaway Camp Collection
87359,Mission: Impossible Collection
113679,Design Trilogy
98036,Re-Animator Collection
59567,Shanghai Noon Collection
44979,Big Momma's House Collection
123726,Quatermass (Hammer series)
498418,Three Extremes Collection
207447,Firestarter Collection
107949,Puppet Master Collection
88735,K-9 Collection
424830,The Benji Collection
157671,The Decline of Western Civilization Collection
261203,Street Fighter
124951,Mannequin Collection
58588,Infernal Affairs Collection
355490,Freeway Collection
115838,Escape From ... Collection
10456,Dirty Harry Collection
178654,White Fang Collection
8647,The Skulls Collection
109592,Porky's Collection
65249,Tarzan (Johnny Weissmuller series)
495,Shaft Collection
135179,Sin City Collection
121195,9½ Weeks Collection
43220,National Lampoon’s Van Wilder Collection
97445,Air Bud Collection
46512,Missing in Action Collection
426985,Ivan The Terrible Collection
123213,The Fly (1958 series)
166376,Hollow Man Collection
256484,Carnosaur Collection
223564,The Cell Collection
458017,Tom and Jerry Collection
95664,Deuce Bigalow Collection
25410,The Art of War Collection
286948,Nemesis Collection
115575,Star Trek: Alternate Reality Collection
64750,Blair Witch Collection
221537,Creature From The Black Lagoon (Universal Series)
259401,The Invisible Man (Universal Series)
138971,The Slumber Party Massacre Collection
12203,Drunken Master Collection
9328,Free Willy Collection
48317,The Man With No Name Collection
98580,Candyman Collection
124916,101 Dalmatians (Live-Action) Collection
90863,Rush Hour Collection
106498,Dungeons & Dragons Collection
158365,Why We Fight
178117,The Emperor's New Groove Collection
93220,Miss Congeniality Collection
115822,Dracula 2000 Collection
91361,Halloween Collection
328372,Mall Cop Collection
109082,Left Behind Collection
48190,Revenge of the Nerds Collection
5202,Wild Orchid Collection
257571,C.H.U.D. Collection
167456,Our Man Flint Collection
126220,The Waxwork Collection
8936,Bridget Jones Collection
441439,Alienation Trilogy
100970,The Fox and the Hound Collection
110021,The Magnificent Seven Collection
100965,Atlantis Collection
262011,Sleuth Collection
201930,Blacula Collection
9485,The Fast and the Furious Collection
168182,Philo & Clyde Collection
3963,The Crimson Rivers Collection
9332,Crocodile Dundee Collection
421566,Totò Collection
101688,Cannonball Run Collection
251970,The Protector Collection
475520,The Yes Men Collection
294468,Flubber Collection
166378,Joy Ride Collection
427956,Dr Goldfoot Collection
43055,Conan the Barbarian Collection
11716,Addams Family Collection
10893,Critters Collection
2326,Underworld Collection
9380,American Werewolf Collection
171439,F/X Collection
101471,Return of the Living Dead Collection
174218,The Howling Collection
89272,The Man From Snowy River Collection
96680,Smokin' Aces Collection
48188,Poison Ivy Collection
91746,Bill + Ted's Most Excellent Collection
187736,Leningrad Cowboys Collection
87805,The Gods Must Be Crazy Collection
286162,Power Rangers Collection
186102,Eddie and the Cruisers Collection
9521,Look Who's Talking Collection
51509,Meet the Parents Collection
12263,The Exorcist Collection
224976,Road House Collection
124188,Pulse Collection
86334,The Prince & Me Collection
491775,Atragon Collection
342009,Die Nibelungen Filmreihe
138706,The Stepfather Collection
118221,Weekend at Bernie's Collection
288280,Saturday Night Fever Collection
107674,The Princess Diaries Collection
85943,Night at the Museum Collection
97461,Lilo & Stitch Collection
239968,La cage aux folles Filmreihe
8918,The Hills Have Eyes (Reboot) Collection
383632,A Man Called Horse Collection
8819,Casper Collection
178106,Darko Collection
352789,Zoolander Collection
1241,Harry Potter Collection
124935,The Lawnmower Man Collection
106000,Beastmaster Collection
284024,The Exterminator Collection
96871,Father of the Bride Collection
98513,Behind Enemy Lines Collection
